GK,クラウディオ・ブラボ,チリ,マンチェスター・C
GK,ジャンルイジ・ブッフォン,イタリア,ユヴェントス
GK,ダビド・デ・ヘア,スペイン,マンチェスター・U
GK,ケイロル・ナバス,コスタリカ,レアル・マドリード
GK,マヌエル・ノイアー,ドイツ,バイエルン
DF,ダヴィド・アラバ,オーストリア,バイエルン
DF,ジョルディ・アルバ ,スペイン,バルセロナ
DF,セルジュ・オーリエ,コートジボワール,パリ・サンジェルマン
DF,エクトル・ベジェリン,スペイン,アーセナル
DF,ジェローム・ボアテング,ドイツ,バイエルン
DF,レオナルド・ボヌッチ,イタリア,ユヴェントス
DF,ダニエル・カルバハル,スペイン,レアル・マドリード
DF,ジョルジョ・キエッリーニ,イタリア,ユヴェントス
DF,ダニエウ・アウヴェス,ブラジル,ユヴェントス
DF,ダヴィド・ルイス,ブラジル,チェルシー
DF,ディエゴ・ゴディン,ウルグアイ,アトレティコ・マドリード
DF,マッツ・フンメルス,ドイツ,バイエルン
DF,フィリップ・ラーム,ドイツ,バイエルン
DF,マルセロ,ブラジル,レアル・マドリード
DF,ハビエル・マスチェラーノ,アルゼンチン,バルセロナ
DF,ペペ,ポルトガル,レアル・マドリード
DF,ジェラール・ピケ,スペイン,バルセロナ
DF,セルヒオ・ラモス,スペイン,レアル・マドリード
DF,チアゴ・シウヴァ,ブラジル,パリ・サンジェルマン
DF,ラファエル・ヴァラン,フランス,レアル・マドリード
MF,シャビ・アロンソ,スペイン,バイエルン
MF,セルヒオ・ブスケツ,スペイン,バルセロナ
MF,ケヴィン・デ・ブライネ,ベルギー,マンチェスター・C
MF,エデン・アザール,ベルギー,チェルシー
MF,アンドレス・イニエスタ,スペイン,バルセロナ
MF,エンゴロ・カンテ,フランス,チェルシー
MF,トニ・クロース,ドイツ,レアル・マドリード
MF,ルカ・モドリッチ,クロアチア,レアル・マドリード
MF,メスト・エジル,ドイツ,アーセナル
MF,ディミトリ・パイェ,フランス,ウェストハム
MF,ポール・ポグバ,フランス,マンチェスター・U
MF,イヴァン・ラキティッチ,クロアチア,バルセロナ
MF,ダビド・シルバ,スペイン,マンチェスター・C
MF,マルコ・ヴェラッティ,イタリア,パリ・サンジェルマン
MF,アルトゥーロ・ビダル,チリ,バイエルン
FW,セルヒオ・アグエロ,アルゼンチン,マンチェスター・C
FW,ギャレス・ベイル,ウェールズ,レアル・マドリード
FW,カリム・ベンゼマ,フランス,レアル・マドリード
FW,クリスティアーノ・ロナウド,ポルトガル,レアル・マドリード
FW,パウロ・ディバラ,アルゼンチン,ユヴェントス
FW,アントワーヌ・グリーズマン,フランス,アトレティコ・マドリード
FW,ゴンサロ・イグアイン,アルゼンチン,ユヴェントス
FW,ズラタン・イブラヒモヴィッチ,スウェーデン,マンチェスター・U
FW,ロベルト・レヴァンドフスキ,ポーランド,バイエルン
FW,リオネル・メッシ,アルゼンチン,バルセロナ
FW,トーマス・ミュラー,ドイツ,バイエルン
FW,ネイマール,ブラジル,バルセロナ
FW,アレクシス・サンチェス,チリ,アーセナル
FW,ルイス・スアレス,ウルグアイ,バルセロナ
FW,ジェイミー・ヴァーディ,イングランド,レスター
